,INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
0,Escola Pública,ALUNO-1,2,H,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.5,8.7,7.5,7.0,5.9,7.7,10.0
2,Escola Pública,ALUNO-3,3,H,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.92,8.9,7.5,5.5,8.0,8.1,10.0
3,Escola Pública,ALUNO-4,1,D,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,4.1,6.88,0.0,7.1,7.7,5.0
4,Escola Pública,ALUNO-5,2,M,Não,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.5,8.0,7.5,7.5,8.4,8.1,10.0
7,Rede Decisão/União,ALUNO-8,4,L,Sim,8.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.33,9.9,4.38,7.3,8.7,8.94,10.0
9,Escola Pública,ALUNO-10,3,B,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",5.83,5.2,3.75,0.0,7.97,6.8,10.0
10,Escola Pública,ALUNO-11,0,A,Sim,9.7,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,10.0,8.13,10.0,10.0,1.0,10.0
11,Rede Decisão/União,ALUNO-12,3,G,Não,5.8,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",6.2,6.0,5.63,6.6,5.6,5.2,5.0
13,Escola Pública,ALUNO-14,2,M,Não,6.4,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.0,7.6,6.88,0.0,8.4,7.9,10.0
14,Escola Pública,ALUNO-15,2,D,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,4.0,7.5,0.0,8.0,7.2,5.0
16,Escola Pública,ALUNO-17,1,G,Não,7.7,Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,6.8,7.5,10.0,6.5,7.7,5.0
17,Escola Pública,ALUNO-18,3,E,Não,7.2,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.58,7.0,7.5,6.5,7.0,7.9,5.0
27,Rede Decisão/União,ALUNO-28,3,J,Sim,9.3,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.58,9.6,6.88,9.0,10.0,9.9,10.0
29,Escola Pública,ALUNO-30,0,C,Não,7.1,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.9,10.0,7.5,4.7,2.5,6.9,10.0
32,Escola Pública,ALUNO-33,3,E,Não,7.0,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.67,4.5,7.5,8.6,7.0,6.2,10.0
33,Escola Pública,ALUNO-34,2,C,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,9.3,6.88,7.0,8.0,7.9,5.0
34,Escola Pública,ALUNO-35,7,B,Não,6.64,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.75,6.1,6.25,5.0,7.66,8.29,5.0
35,Escola Pública,ALUNO-36,3,C,Não,8.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.58,9.9,7.5,8.0,8.7,8.2,5.0
36,Escola Pública,ALUNO-37,2,N,Não,6.6,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,7.7,4.38,2.5,6.4,7.78,10.0
38,Escola Pública,ALUNO-39,3,F,Não,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.25,9.4,7.5,8.3,8.5,6.7,10.0
40,Escola Pública,ALUNO-41,1,D,Não,7.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,8.3,7.5,7.2,7.5,7.7,5.0
42,Escola Pública,ALUNO-43,4,F,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.5,7.5,7.5,7.0,7.97,8.04,10.0
43,Escola Pública,ALUNO-44,1,M,Não,6.2,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,6.8,7.5,0.0,6.2,7.9,10.0
44,Escola Pública,ALUNO-45,1,G,Não,6.6,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,1.0,7.5,10.0,7.8,7.7,5.0
45,Escola Pública,ALUNO-46,0,C,Não,6.9,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.5,10.0,7.5,0.0,7.5,7.5,10.0
