INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2022,TURMA_2022,INDE_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,ALUNO-1,,,,,,,,,,,,,,,
,ALUNO-2,"0,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","7,60","7,50","8,81","6,00",Não,"7,91","5,00"
Escola Pública,ALUNO-3,,,,,,,,,,,,,,,
Escola Pública,ALUNO-4,"2,00",J,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","8,07","7,50","5,08","6,25",Não,"8,05","5,00"
Escola Pública,ALUNO-5,"2,00",L,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","6,40","8,55","7,50","7,08","6,45",Não,"7,83","5,00"
,ALUNO-6,"2,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,00","9,33","7,50","5,50","6,25",Não,"7,50","10,00"
,ALUNO-7,"1,00",U,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","1,00","9,31","7,50","5,58","5,93",Não,"7,92","5,00"
Rede Decisão/União,ALUNO-8,"5,00",K,"7,00",Ametista,"Destaque: A sua boa entrega das lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","9,10","8,26","5,00","7,14","7,70",Não,"7,62","5,00"
,ALUNO-9,"0,00",Z,"5,00",Quartzo,"Melhorar: Melhorar a sua entrega de lições de casa,","Melhorar: Empenhar-se mais nas aulas e avaliações,","Melhorar: Integrar-se mais aos Princípios Passos Mágicos,","9,00","6,82","5,00","2,13","3,75",Não,"5,50","10,00"
Escola Pública,ALUNO-10,,,,,,,,,,,,,,,
Escola Pública,ALUNO-11,"1,00",A,"8,00",Topázio,"Destaque: A sua boa entrega das lições de casa,","Destaque: As suas boas notas na Passos Mágicos,","Destaque: A sua boa integração aos Princípios Passos Mágicos,","8,00","9,19","7,50","9,83","7,08",Sim,"9,50","5,00"
