INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-1,2H,Não,7.883.752,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500.020.000.000.000,8.7,7.5,7,5.9375,7.75,10
,ALUNO-2,,,,,,,,,,,,,,
Escola Pública,ALUNO-3,3H,Não,7.856.389.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,8.9,7.5,5.5,8.125,8.111.113.333.333.330,10
Escola Pública,ALUNO-4,1D,Não,5.076.252,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,4.1,6.875,0,7.1875,7.75,5
Escola Pública,ALUNO-5,2M,Não,8.077.085,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,750.002,8,7.5,7.5,8.4375,8.166.665,10
,ALUNO-6,,,,,,,,,,,,,,
,ALUNO-7,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-8,4L,Sim,8.381.390.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833.334,9.9,4.375,7.333.333.333.333.330,8.749.999.999.999.990,894.445,10
,ALUNO-9,,,,,,,,,,,,,,
Escola Pública,ALUNO-10,3B,Não,51.618.745,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,583.333,5.2,3.75,0,796.875,68.333.325,10
Escola Pública,ALUNO-11,0A,Sim,9.712.504.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,8.125,10,10,1.000.001,10
Rede Decisão/União,ALUNO-12,3G,Não,5.838.887.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6,5.625,6.666.666.666.666.660,5.624.999.999.999.990,5.277.770.000.000.000,5
,ALUNO-13,,,,,,,,,,,,,,
Escola Pública,ALUNO-14,2M,Não,6.434.585,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,7.6,6.875,0,8.4375,7.916.665,10
Escola Pública,ALUNO-15,2D,Não,5.162.502,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,4,7.5,0,8.125,7.25,5
,ALUNO-16,,,,,,,,,,,,,,
Escola Pública,ALUNO-17,1G,Não,7.766.252,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,6.8,7.5,10,6.5625,7.75,5
Escola Pública,ALUNO-18,3E,Não,72.055.576.666.666.600,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,7,7.5,6.5,7.083.333.333.333.330,7.944.446.666.666.660,5
,ALUNO-19,,,,,,,,,,,,,,
,ALUNO-20,,,,,,,,,,,,,,
,ALUNO-21,,,,,,,,,,,,,,
,ALUNO-22,,,,,,,,,,,,,,
,ALUNO-23,,,,,,,,,,,,,,
,ALUNO-24,,,,,,,,,,,,,,
,ALUNO-25,,,,,,,,,,,,,,
,ALUNO-26,,,,,,,,,,,,,,
,ALUNO-27,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-28,3J,Sim,9.354.725.666.666.660,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,9.6,6.875,9,10,9.944.453.333.333.330,10
,ALUNO-29,,,,,,,,,,,,,,
Escola Pública,ALUNO-30,0C,Não,7.125.001,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,79.166.799.999.999.900,10,7.5,4.75,2.5,6.916.665,10
,ALUNO-31,,,,,,,,,,,,,,
,ALUNO-32,,,,,,,,,,,,,,
Escola Pública,ALUNO-33,3E,Não,7.013.888.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,666.667,4.5,7.5,8.666.666.666.666.660,7.083.333.333.333.330,6.277.773.333.333.330,10
Escola Pública,ALUNO-34,2C,Não,7.698.890.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.3,6.875,7,8.125,7.944.443.333.333.330,5
Escola Pública,ALUNO-35,7B,Não,664.396,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875.001,6.1,6.25,5,765.625,829.167,5
Escola Pública,ALUNO-36,3C,Não,8.307.780.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,9.9,7.5,8,8.749.999.999.999.990,8.222.226.666.666.660,5
Escola Pública,ALUNO-37,2N,Não,66.788.913.333.333.300,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,7.7,4.375,2.5,6.458.333.333.333.330,777.778,10
,ALUNO-38,,,,,,,,,,,,,,
Escola Pública,ALUNO-39,3F,Não,8.131.388.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,624.999,9.4,7.5,8.333.333.333.333.330,8.541.666.666.666.660,6.777.780.000.000.000,10
,ALUNO-40,,,,,,,,,,,,,,
Escola Pública,ALUNO-41,1D,Não,7.460.002,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,8.3,7.5,7.25,7.5,7.75,5
,ALUNO-42,,,,,,,,,,,,,,
Escola Pública,ALUNO-43,4F,Não,78.052.090.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.5,7.5,7,796.875,804.167,10
Escola Pública,ALUNO-44,1M,Não,6.218.335,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.8,7.5,0,6.25,7.916.665,10
Escola Pública,ALUNO-45,1G,Não,6.631.252,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,1,7.5,10,7.8125,7.75,5
Escola Pública,ALUNO-46,0C,Não,6.966.669,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,10,7.5,0,7.5,7.583.335,10
,ALUNO-47,,,,,,,,,,,,,,
,ALUNO-48,,,,,,,,,,,,,,
,ALUNO-49,,,,,,,,,,,,,,
,ALUNO-50,,,,,,,,,,,,,,
Escola Pública,ALUNO-51,0D,Não,8.955.835,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.8,7.5,10,8.125,7.416.665,10
Escola Pública,ALUNO-52,2F,Não,8.181.112.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,8.6,6.25,7,7.916.666.666.666.660,822.222,10
Einstein,ALUNO-53,5X,,8.696.667.999.999.990,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,10,7.5,8.2,0,0,10
,ALUNO-54,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-55,6C,Sim,6.878.125.166.666.660,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,9,7.5,6.333.333.333.333.330,828.125,8.666.667.499.999.990,5
,ALUNO-56,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-57,6B,Não,7.311.667.166.666.660,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833.334,7.1,6.25,5.833.333.333.333.330,7.5,75.833.325,10
,ALUNO-58,,,,,,,,,,,,,,
Escola Pública,ALUNO-59,3E,Não,6.563.055.666.666.660,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,3.6,7.5,6,7.291.666.666.666.660,6.444.439.999.999.990,10
Rede Decisão/União,ALUNO-60,5F,Não,7.679.582.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.7,6.875,6.666.666.666.666.660,8.4375,8.124.995,5
Escola Pública,ALUNO-61,1N,Não,5.604.168.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.5,7.5,0,6.875,7.333.333.333.333.330,5
Escola Pública,ALUNO-62,2L,Não,6.330.001.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,79.166.799.999.999.900,6.9,7.5,3.5,7.083.333.333.333.330,7.5,5
,ALUNO-63,,,,,,,,,,,,,,
,ALUNO-64,,,,,,,,,,,,,,
,ALUNO-65,,,,,,,,,,,,,,
,ALUNO-66,,,,,,,,,,,,,,
,ALUNO-67,,,,,,,,,,,,,,
Escola Pública,ALUNO-68,1F,Não,5.988.752,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,7.6,7.5,0,7.1875,8,5
,ALUNO-69,,,,,,,,,,,,,,
,ALUNO-70,,,,,,,,,,,,,,
Escola Pública,ALUNO-71,0A,Não,7.550.001,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,10,5,9.5,2.5,7.749.995,5
,ALUNO-72,,,,,,,,,,,,,,
,ALUNO-73,,,,,,,,,,,,,,
,ALUNO-74,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-75,3L,Sim,9.687.504,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,10,10,9,9.375,975.001,10
Escola Pública,ALUNO-76,0B,Não,8.958.334,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,891.668,10,10,10,7.5,658.333,10
,ALUNO-77,,,,,,,,,,,,,,
