INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2021,TURMA_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021
Escola Pública,ALUNO-1,2.0,G,Ametista,7.319,7.5,6.3,6.9,8.8,7.7,Não,8.1,5.0
,ALUNO-2,,,,,,,,,,,,
Escola Pública,ALUNO-3,3.0,F,Ametista,7.021,7.1,6.9,6.3,5.6,7.3,Não,7.2,10.0
Escola Pública,ALUNO-4,,,,,,,,,,,,
Escola Pública,ALUNO-5,2.0,L,Ametista,7.399,7.4,7.5,7.5,5.4,8.5,Não,7.4,10.0
,ALUNO-6,,,,,,,,,,,,
,ALUNO-7,,,,,,,,,,,,
Rede Decisão/União,ALUNO-8,5.0,L,Topázio,8.269,8.8,8.6,7.5,7.1,8.0,Não,8.5,10.0
,ALUNO-9,,,,,,,,,,,,
Escola Pública,ALUNO-10,,,,,,,,,,,,
Escola Pública,ALUNO-11,1.0,A,Topázio,8.990,9.0,10.0,6.3,8.8,7.7,Sim,9.7,10.0
Rede Decisão/União,ALUNO-12,,,,,,,,,,,,
Escola Pública,ALUNO-13,0.0,T,Quartzo,3.413,8.0,0.0,7.5,0.8,0.0,Não,6.0,5.0
Escola Pública,ALUNO-14,,,,,,,,,,,,
Escola Pública,ALUNO-15,,,,,,,,,,,,
,ALUNO-16,,,,,,,,,,,,
Escola Pública,ALUNO-17,1.0,G,Ágata,6.140,9.5,4.2,7.5,2.6,8.4,Não,8.8,5.0
Escola Pública,ALUNO-18,4.0,F,Ágata,5.666,10.0,3.3,6.3,5.3,7.7,Não,5.2,5.0
Escola Pública,ALUNO-19,2.0,C,Ágata,6.751,9.0,6.3,7.5,4.6,7.7,Não,8.3,5.0
,ALUNO-20,,,,,,,,,,,,
,ALUNO-21,,,,,,,,,,,,
,ALUNO-22,,,,,,,,,,,,
,ALUNO-23,,,,,,,,,,,,
,ALUNO-24,,,,,,,,,,,,
,ALUNO-25,,,,,,,,,,,,
,ALUNO-26,,,,,,,,,,,,
,ALUNO-27,,,,,,,,,,,,
