INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2022,TURMA_2022,INDE_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,ALUNO-1,,,,,,,,,,,,,,,
,ALUNO-2,0.0,K,7.675.509.353.106.840,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,758.170.509.886.757,7.5,8.816.666.666.666.660,5.625,Não,7.916.665,5.0
Escola Pública,ALUNO-3,,,,,,,,,,,,,,,
Escola Pública,ALUNO-4,2.0,J,7.117.065.047.619.040,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,8.071.428.571.428.570,7.5,5.083.333.333.333.330,6.25,Não,8.055.553.333.333.330,5.0
Escola Pública,ALUNO-5,2.0,L,7.232.336.307.992.200,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,641.668,8.557.504.873.294.340,7.5,7.083.333.333.333.330,6.458.333.333.333.330,Não,7.833.336.666.666.660,5.0
,ALUNO-6,2.0,K,7.741.668.666.666.660,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.333.333.333.333.330,7.5,5.5,6.25,Não,7.5,10.0
,ALUNO-7,1.0,U,7.406.743.477.025.890,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.314.954.051.796.150,7.5,5.583.333.333.333.330,5.9375,Não,791.667,5.0
Rede Decisão/União,ALUNO-8,5.0,K,7.289.795.442.501.940,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,916.668,8.268.065.268.065.260,5.0,7.144.444.444.444.440,765.625,Não,76.250.025,5.0
,ALUNO-9,0.0,Z,5.665.746.204.655.240,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.820.377.689.942.900,5.0,2.133.333.333.333.330,3.75,Não,550.001,10.0
Escola Pública,ALUNO-10,,,,,,,,,,,,,,,
Escola Pública,ALUNO-11,1.0,A,8.464.686.539.682.530,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,9.198.412.698.412.690,7.5,9.833.333.333.333.330,7.083.333.333.333.330,Sim,950.001,5.0
Rede Decisão/União,ALUNO-12,,,,,,,,,,,,,,,
,ALUNO-13,,,,,,,,,,,,,,,
Escola Pública,ALUNO-14,,,,,,,,,,,,,,,
Escola Pública,ALUNO-15,,,,,,,,,,,,,,,
,ALUNO-16,1.0,P,6.995.504.201.058.200,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,933.862.433.862.434,6.875,6.333.333.333.333.330,4.791.666.666.666.660,Não,6.722.219.999.999.990,5.0
Escola Pública,ALUNO-17,1.0,G,6.723.325.934.837.090,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,6.647.869.674.185.460,7.5,5.5,5.9375,Não,7.5,5.0
Escola Pública,ALUNO-18,4.0,H,5.845.721.955.648.920,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,6.287.640.056.022.400,8.125,5.222.222.222.222.220,7.8125,Não,72.499.975,5.0
,ALUNO-19,2.0,Q,7.843.149.036.414.560,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.054.621.848.739.490,7.5,7.466.666.666.666.660,6.666.666.666.666.660,Não,8.111.113.333.333.330,5.0
,ALUNO-20,0.0,Z,8.616.243.765.480.890,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.552.042.160.737.810,7.5,8.466.666.666.666.660,5.625,Sim,8.5,10.0
,ALUNO-21,3.0,N,5.652.385.860.342.550,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,791.667,5.649.085.968.379.440,5.0,5.166.666.666.666.660,703.125,Não,6.222.216.666.666.660,2.5
,ALUNO-22,0.0,Z,8.098.496.318.150.440,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,8.982.056.590.752.240,7.5,9.25,4.6875,Não,7.166.665,10.0
,ALUNO-23,1.0,U,778.265.826.912.142,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,77.986.963.456.071,7.5,9.25,6.5625,Não,8.333.335,5.0
,ALUNO-24,2.0,A,826.975.686.419.753,Topázio,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.320.987.654.320.980,6.875,6.75,6.458.333.333.333.330,Sim,8.611.119.999.999.990,10.0
,ALUNO-25,0.0,Y,795.176.506.926.407,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,750.002,8.346.320.346.320.340,7.5,9.1,3.125,Não,8.249.995,10.0
,ALUNO-26,0.0,F,7.738.020.410.934.740,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.721.340.388.007.050,7.5,9.166.666.666.666.660,5.9375,Não,7.083.335,5.0
,ALUNO-27,2.0,M,6.350.091.965.367.960,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.493.506.493.506.490,7.5,4.583.333.333.333.330,5.625,Não,7.111.109.999.999.990,5.0
Rede Decisão/União,ALUNO-28,,,,,,,,,,,,,,,
,ALUNO-29,3.0,C,4.935.556.331.573.650,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.832.296.380.090.490,7.5,5.777.777.777.777.770,671.875,Não,57.083.325,2.5
Escola Pública,ALUNO-30,0.0,K,8.083.535.682.039.540,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.005.163.410.197.730,7.5,9.1,5.625,Não,8.250.005,5.0
,ALUNO-31,0.0,V,7.263.157.796.906.790,Ametista,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,691.668,7.317.867.317.867.310,7.5,7.466.666.666.666.660,5.3125,Não,6.666.665,10.0
,ALUNO-32,7.0,D,6.792.708.666.666.660,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,791.667,8.333.333.333.333.330,7.5,4.0,734.375,Não,7.75,5.0
Escola Pública,ALUNO-33,,,,,,,,,,,,,,,
Escola Pública,ALUNO-34,3.0,C,6.666.787.745.731.960,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.056.167.617.548.690,7.5,6.111.111.111.111.110,7.5,Não,641.666,5.0
